mark,title,price,price_adjusted,link,addr,explain,社區,車 位,管理費,poster,養寵物,格局,坪數,樓層,型態,expired_at,id,desc,fetched
x,高雄社會住宅✶九如四路✶電梯3房,11000,11300,https://rent.591.com.tw/rent-detail-10623543.html,高雄市鼓山區九如四路,,**,無,300元/月,黃先生(仲介，不須服務費),可以,3房2廳1衛0陽台,25坪,7F/11F,電梯大樓,2021-04-11,10623543,"🌼【地點】位於九如四路、近翠華路、中華路

🌼【房型】3房2廳1衛，電梯大樓

🌼【樓層】7/11

🌼【一般戶租金】11,000

🌼【第一類租金】9,625

🌼【第二類租金】6,875

🌼【管理費】300

🌼【押金】2個月

🌼【坪數】25

🌼【周遭環境】超優環境，生活機能極便利；鄰近內惟車站、果貿公有市場、中華郵政、藥局、釣具行、國泰市場、便利商店、美術館車站、兒童美術館、前鋒社區公園、雄峰公園、內惟埤文化園區、鼓山游泳池🌻🌴🐒🐕🐤、圖書館鼓山分館、餐廳林立🥤🍦🍜🍰🍩🍎

🌼【傢俱家電】冰箱、熱水器

🔥可炊煮

🈲禁拜拜

❤️免收取仲介費

 

👍國家住宅及都市更新中心社會住宅包租代管計畫👍

【申請條件說明】       

🎯一般戶：租金$11,000

符合家庭年所得111萬以下，且全家人口月收入平均45,847元以下，且於高雄市無自有住宅，且設籍高雄市或於高雄市就學、就業者(需提供就學、在職證明)。

🎯第一類戶：租金$9,625

設籍高雄，且符合下列任一項資格且全家人口平均月收入低於45,847元以下。

-身心障礙者

-65歲以上之老人

-原住民、災民、遊民

-育有3名未成年(20歲以下)子女

-受家庭暴力或性侵害之受害者及其子女

-特殊境遇家庭(需取得特殊境遇家庭扶助公文)

-感染人類免疫缺乏病毒者或罹患後天免疫缺乏症候群者

-於安置教養機構或寄養家庭結束安置無法返家，未滿二十五歲

🎯第二類戶：租金$6,875

設籍高雄，且低收入戶、中低收入戶資格者。



【申請所須資料】

✅申請人之國民身分證│年滿20歲、中華民國國籍

✅全戶戶籍謄本│戶政申請，申請日前一個月內有效；戶籍謄本記事欄不可省略

✅戶籍內家庭成員財產歸屬清單

國稅局申請，申請日前一個月內有效

✅戶籍內家庭成員綜所稅清單│國稅局申請，申請日前一個月內有效；家庭成員指：申請人、申請人配偶、申請人之戶籍內直系親屬、申請人配偶之戶籍內直系親屬(含胎兒)；若申請人父母均已故，申請人戶籍內有未成年或身心障礙之兄弟姊妹需要照顧者(單身)，亦可納為家庭成員

✅其他身分別證明文件



📞看屋請電：0917-816769 黃先生

🏠申請地址：高雄市新興區中山一路126號(捷運站-美麗島4號出口)

☎公司專線：07-2363153；聯繫時間：每日09:00~18:00



🏆寄居蟹租屋有限公司

經紀人陳勁安(106)竹市經證字第000188號",2021-03-20
,鼎山家樂福//鼎金國小/義大大昌溫馨2房,11000,11000,https://rent.591.com.tw/rent-detail-10541146.html,高雄市三民區鼎華路,含管理費,高雄江山,無,--,蔡小姐（代理人）,不可以,2房1廳1衛1陽台,21坪,8F/11F,電梯大樓,2021-03-26,10541146,"格局方正/採光通風佳

交通便利/生活機能佳

歡迎預約看屋請與我聯絡

營業時間:9:00AM~18:00PM",2021-03-20
,A84852-小港餐旅學校三房,11000,12958,https://rent.591.com.tw/rent-detail-10594426.html,高雄市小港區鳳福路,,寶第華廈,無,1500元/月,宋小姐(仲介，收取服務費),不可以,3房2廳2衛1陽台,27.13坪,3F/7F,電梯大樓,2021-04-06,10594426,小港餐旅學校  三房,2021-03-20
,橋頭捷運雙學區~臨20米路明亮美3房,11000,11458,https://rent.591.com.tw/rent-detail-10575030.html,高雄市橋頭區樹德路,含管理費,橋頭新天地,無,--,侯小姐(仲介，收取服務費),不可以,3房2廳2衛0陽台,33.28坪,8F/8F,電梯大樓,2021-04-02,10575030,"1.屋況佳、格局方正、雙面採光明亮、通風良好、座北朝南。
2.生活機能超優、橋頭火車站、捷運站、橋頭黃昏市場、郵局、全聯大賣場、夜市。
3.雙學區、橋頭國中、橋頭國小走路就到，學區完善、家長超放心。
4.地點佳、增值空間大、先搶先贏、投資自住皆適宜。

不動產行情諮詢或買賣租賃相關問題洽

諮詢賞屋專線:侯筱筑0913387075

歡迎搜尋LINE-ID：0913387075

(志裕富不動產有限公司王麗君104高市第0112號)",2021-03-20
,亞太新紀元學生租屋,11500,12600,https://rent.591.com.tw/rent-detail-10552035.html,高雄市楠梓區楠梓新路261巷,,亞太新紀元,無,1100元/月,楊小姐（屋主）,不可以,3房2廳2衛2陽台,35坪,9F/19F,電梯大樓,2021-03-28,10552035,楠梓區公所對面大樓，近火車站、公車站、捷運站，交通便利，禁養寵物、禁抽菸,2021-03-20
,明亮乾淨三房,12000,12000,https://rent.591.com.tw/rent-detail-10645289.html,高雄市大寮區內厝路,含管理費,陽明山莊,無,--,王先生（屋主聲明：仲介勿擾）,不可以,3房2廳2衛2陽台,21.67坪,3F/11F,電梯大樓,2021-04-16,10645289,"屋況良好通風明亮

整間房子重新粉刷 主臥廁所重新翻修

附部分家俱

租金包含管理費

生活機能良好",2021-03-20
,高醫學生/實習生--合租雅舎（3-4人）,12000,12000,https://rent.591.com.tw/rent-detail-7452321.html,高雄市三民區延慶街80號,,,無,--,廖先生（屋主聲明：仲介勿擾）,不可以,4房1廳1衛2陽台,52坪,7F/7F,住宅大樓,2021-03-23,7452321,大房大窗大陽台，每房約4坪大。附冷氣、冰箱、洗衣機、書桌櫃、床墊組、衣櫃、電視機。有管理員、電梯。半年繳一次租金，租金不含管理費。需身份證、學生證簽約。需同性別合租，不可留宿異性別友人。整棟樓設有偵煙器，不可室內抽菸。不能養寵物。,2021-03-20
,高醫學生--合租雅舎（4人）,12000,12000,https://rent.591.com.tw/rent-detail-10524387.html,高雄市三民區延慶街80號,,現代生活,無,--,廖先生（屋主聲明：仲介勿擾）,不可以,4房1廳1衛2陽台,52坪,7F/7F,住宅大樓,2021-03-23,10524387,大房大窗大陽台，每房約5坪大。附冷氣、冰箱、洗衣機、書桌櫃、床墊組、衣櫃。有管理員、電梯。半年繳一次租金，租金不含管理費。需身份證、學生證簽約。需同性別合租，不可留宿異性別友人。整棟樓設有偵煙器，不可室內抽菸。不能養寵物。,2021-03-20
x,溫馨便利小家庭,12000,12000,https://rent.591.com.tw/rent-detail-10655841.html,高雄市苓雅區英義街273號,含管理費/第四台,巴堂建設,機械式停車位，已含租金內,--,錢先生（屋主聲明：仲介勿擾）,不可以,2房1廳1衛1陽台,19坪,7F/8F,電梯大樓,2021-04-19,10655841,"條件：不得養寵物及設立神位。

電梯大樓，通風良好、採光佳、鬧中取靜、安全舒適。

房間：兩房加一和室，家俱家電全，適合小家庭。

周邊：對面萊爾富、旁邊7-11，公園學校三分鐘、後面傳統市場，生活機能非常棒。

交通：有機械車位，機車位、三分鐘公車站，三分鐘可租腳踏車到捷運站七分鐘，三分鐘可搭輕軌。

租金：月繳1萬2千〈包含管理費、機械停車管理及保養費，不含水電瓦斯費〉。",2021-03-20
x,CC社會住宅◆近都會公園◆電梯3房◆,12000,13360,https://rent.591.com.tw/rent-detail-10617797.html,高雄市楠梓區德民路426巷,,**,無,1360元/月,呂小姐(仲介，不須服務費),不可以,3房2廳2衛1陽台,33.67坪,23F/23F,電梯大樓,2021-04-10,10617797,"🌼【地點】位於德民路、近德賢路、益群路

🌼【房型】3房2廳2衛1陽，電梯大樓

🌼【樓層】23/23

🌼【一般戶租金】12,000

🌼【第一類租金】10,500

🌼【第二類租金】7,500

🌼【管理費】1,360

🌼【押金】2個月

🌼【坪數】33.67

🌼【周遭環境】超優環境，生活機能極便利；鄰近便利商店、小北百貨、咖啡廳、加油站、家樂福、都會公園🌻🌴🐒🐕🐤、翠屏國民中小學、加昌國民小學📚✏📖、餐廳林立🥤🍦🍜🍰🍩🍎

🌼【傢俱家電】電視、冷氣、冰箱、熱水器、洗衣機、沙發、床、衣櫃、桌、椅

🔥可炊煮

🈲禁寵物、禁菸、禁拜拜

❤️免收取仲介費

 

 

👍高雄市政府社會住宅包租代管計畫搶手登場👍

👍本物件房客服務費由政府全額補助👍

只要符合資格即可簽約入住喔！名額有限、趕快卡位💦💦💦

👍依高雄政府社會住宅包租代管計畫專案核定👍

 

【申請條件說明】       

🎯一般戶，租金$12,000

家庭年所得111萬以下，且全家人口月收入平均45,847元以下，且於高雄市無自有住宅，且設籍高雄市或於高雄市就學、就業者(需提供就學/在職證明)

 

🎯第一類戶，租金$10,500        

設籍高雄且符合【住宅法第四條經濟弱勢條件】任一項資格且全家人口平均月收入低於45,847元以下

 

🎯第二類戶，租金$7,500

設籍高雄且符合【住宅法第四條經濟弱勢條件】任一項資格且全家人口平均月收入低於19,649元以下

 

【住宅法第四條經濟弱勢條件】

🌳特殊境遇家庭(需取得特殊境遇家庭扶助公文)

🌳於安置教養機構或寄養家庭結束安置無法返家，未滿二十五歲

🌳受家庭暴力或性侵害之受害者及其子女

🌳身心障礙者

🌳HIV+

🌳原住民、災民、遊民

🌳65歲以上之老人

🌳育有3名未成年子女

🌳低收入戶、中低收入戶

 

【申請所須資料】

✍申請人之國民身分證│年滿20歲、中華民國國籍

✍全戶戶籍謄本│戶政申請，申請日前一個月內有效；戶籍謄本記事欄不可省略

✍戶籍內家庭成員財產歸屬清單│國稅局申請，申請日前一個月內有效

✍戶籍內家庭成員綜所稅清單│國稅局申請，申請日前一個月內有效；家庭成員係指本人、配偶及直系卑親屬

✍其他身分別證明文件

 

 

☎看屋請洽：0908-997110 呂小姐 

🏠申請地址：高雄市新興區中山一路126號（捷運站-美麗島4號出口）

📞公司專線：07-236-9100；聯繫時間：每日09:00~18:00

 

 

🏆兆基管理顧問C.C house

經紀人蔡承穎(105)北市經證字第02306號",2021-03-20
x,高雄社會住宅✶北仁街✶電梯大樓2房,12000,15059,https://rent.591.com.tw/rent-detail-10613286.html,高雄市鳳山區北仁街,,**,無,3059元/月,劉先生(仲介，不須服務費),不可以,2房1廳2衛1陽台,30.66坪,3F/15F,電梯大樓,2021-04-09,10613286,"🌼【地點】位於北仁街、近北昌路、水管路

🌼【房型】2房1廳2衛1陽，電梯大樓

🌼【樓層】3/15

🌼【一般戶租金】12,000

🌼【第一類租金】10,500

🌼【第二類租金】7,500

🌼【管理費】3,059

🌼【押金】2個月

🌼【坪數】30.66

🌼【周遭環境】超優環境，生活機能極便利；鄰近停車場、居家用品店、玩具店、便利商店、早午餐墊、契作小農廚房、NO.16藝術公園🌻🌴🐒🐕🐤

🌼【傢俱家電】熱水器、瓦斯

🌤可炊煮

🈲禁寵物、禁菸、禁拜拜

❤️免收取仲介費

👍國家住宅及都市更新中心社會住宅包租代管計畫👍

【申請條件說明】       

🎯一般戶：租金$12,000

符合家庭年所得111萬以下，且全家人口月收入平均45,847元以下，且於高雄市無自有住宅，且設籍高雄市或於高雄市就學、就業者(需提供就學、在職證明)。

🎯第一類戶：租金$10,500

須設籍高雄，且符合下列任一項資格且全家人口平均月收入低於45,847元以下。

-身心障礙者

-65歲以上之老人

-原住民、災民、遊民

-育有3名未成年(20歲以下)子女

-受家庭暴力或性侵害之受害者及其子女

-特殊境遇家庭(需取得特殊境遇家庭扶助公文)

-感染人類免疫缺乏病毒者或罹患後天免疫缺乏症候群者

-於安置教養機構或寄養家庭結束安置無法返家，未滿二十五歲

🎯第二類戶：租金$7,500

須設籍高雄，且為低收入戶、中低收入戶資格。

【申請所須資料】

✅申請人之國民身分證

年滿20歲、中華民國國籍

✅全戶戶籍謄本

戶政申請，申請日前一個月內有效

戶籍謄本記事欄不可省略

✅戶籍內家庭成員財產歸屬清單

國稅局申請，申請日前一個月內有效

✅戶籍內家庭成員綜所稅清單

國稅局申請，申請日前一個月內有效

家庭成員指：申請人、申請人配偶、申請人之戶籍內直系親屬、申請人配偶之戶籍內直系親屬(含胎兒)；若申請人父母均已故，申請人戶籍內有未成年或身心障礙之兄弟姊妹需要照顧者(單身)，亦可納為家庭成員

✅其他身分別證明文件

📞看屋請電：0917-816769 黃先生

🏠申請地址：高雄市新興區中山一路126號(捷運站-美麗島4號出口)

☎公司專線：07-2363153；聯繫時間：每日09:00~18:00

🏆寄居蟹租屋有限公司

經紀人陳勁安(106)竹市經證字第000188號",2021-03-20
,高雄東帝士85大樓裝潢套房出租附家具,12000,13275,https://rent.591.com.tw/rent-detail-10644170.html,高雄市苓雅區自強三路3號,,高雄85大樓,無,1275元/月,陳先生（屋主聲明：仲介勿擾）,可以,1房1廳1衛0陽台,15坪,20F/85F,電梯大樓,2021-04-16,10644170,"高雄85大樓 飯店式管理。新裝潢套房傢俱全，一皮箱即可入住。

網路跟第四台僅需向管理室申請開通即可。

屋主自租 仲介勿擾",2021-03-20
,中崙社區安靜,12000,12000,https://rent.591.com.tw/rent-detail-10646191.html,高雄市鳳山區中崙二路574巷7號,含管理費/第四台,,無,--,王先生（屋主聲明：仲介勿擾）,不可以,3房2廳2衛2陽台,37坪,6F/7F,公寓,2021-04-17,10646191,安靜舒適,2021-03-20
,仁翔大樓便宜3房,12000,13614,https://rent.591.com.tw/rent-detail-10601648.html,高雄市楠梓區常德路317巷,,仁翔社區,無,1114元/月,曾小姐(仲介，收取服務費),可以,3房2廳2衛2陽台,26.18坪,8F/10F,電梯大樓,2021-04-07,10601648,★附家具.屋況漂亮.三面採光.★社區環境漂亮、附近有停車場可停車 .寵物可議 ★近交流道、台糖家樂福生活機能佳 ★公園:清豐公園/學區:楠梓國小/國中,2021-03-20
,市議會捷運大二房客廳~品味裝潢~設備新穎,12000,12680,https://rent.591.com.tw/rent-detail-10629880.html,高雄市前金區六合二路145號,,白宮大廈,無,680元/月,羅小姐（代理人）,不可以,2房1廳1衛0陽台,14.01坪,10F/12F,電梯大樓,2021-04-13,10629880,"近中正路市議會站、美麗島站~雙捷運交通便利，
★本屋原本是屋主自住，之前有全部整修、水路電線重新配置過~安全性高，
雅緻品味裝潢、設備有八成新。

★客廳及二房間皆用分離式冷氣，房間皆有開窗(有窗簾)、加高的和室型地板，
★客廳耐磨地板、流理台下面有RO濾水機。

樓下高雄銀行、OK便利商店、咖啡簡餐、附近各式早餐店、美食餐廳、郵局、
附近辦公大樓林立、有六合夜市、三民市場、小北商店、商務旅館。
周遭生活機能性超級佳。

歡迎預約看屋 ：敬請提前一天預約。

*本物件屋主要求：1.承租方需任職於公家機關或千大企業公司上班族。
2.不得飼養寵物。 *惟是否出租，出租方有權做最後審核權。",2021-03-20
,"諾貝爾温馨2房,全套家電家具",12000,13494,https://rent.591.com.tw/rent-detail-10523129.html,高雄市苓雅區新光路62巷,,諾貝爾,無,994元/月,李先生(仲介，收取服務費),不可以,2房1廳1衛2陽台,28.5坪,13F/35F,電梯大樓,2021-03-23,10523129,三多百貨商圈，自強夜市2房，圖書總館，捷運三多商圈站。,2021-03-20
,高鐵2房改大套房,12000,13020,https://rent.591.com.tw/rent-detail-10546843.html,高雄市左營區大中二路,,長谷富麗國,無,1020元/月,陳先生(仲介，不須服務費),不可以,1房2廳1衛0陽台,15.73坪,4F/20F,電梯大樓,2021-03-27,10546843,"aronhouse阿榮〈高鐵2房改大套房〉

1.高鐵商圈.生活機能優

2.配備齊全,輕鬆入住

3.管理費,第四台由承租方負擔

意者請洽:0922-223159 (aronhouse阿榮)",2021-03-20
,2房出租-優質文山特區-光線佳-近學區,12000,13580,https://rent.591.com.tw/rent-detail-10523892.html,高雄市鳳山區文澄街,,文澄街大樓,無,1080元/月,何小姐(仲介，收取服務費),不可以,2房2廳1衛1陽台,17.7坪,3F/13F,電梯大樓,2021-03-23,10523892,1.近正修 近長庚 近澄清湖 2.屋況佳 大2房,2021-03-20
,鳳山捷運漂亮三房,12500,14325,https://rent.591.com.tw/rent-detail-10657162.html,高雄市鳳山區華西街,,,無,1825元/月,辜先生（代理人）,不可以,3房2廳2衛2陽台,36坪,3F/8F,電梯大樓,2021-04-19,10657162,"生活機能佳、交通方便

近學校市場

新婚、小家庭最愛

全新整理歡迎看屋",2021-03-20
,萊茵情境二期,12500,12500,https://rent.591.com.tw/rent-detail-10654718.html,高雄市楠梓區壽豐路432號,含管理費,萊茵情境二期,無,--,方小姐（屋主）,不可以,3房2廳2衛1陽台,17坪,6F/7F,電梯大樓,2021-04-18,10654718,光線好房間都有對外窗，整層住家，一卡皮箱就可入住,2021-03-20
,優良客請進來,12500,12500,https://rent.591.com.tw/rent-detail-10545545.html,高雄市苓雅區新光路62巷12號,含管理費,诺貝爾,無,--,家先生（屋主）,不可以,3房2廳2衛1陽台,34坪,35F/35F,電梯大樓,2021-03-27,10545545,圖書館前面,2021-03-20
x,大遠百三多商圈，捷運站典雅2房,12500,16820,https://rent.591.com.tw/rent-detail-10512793.html,高雄市苓雅區新光路,,,機械式停車位，費用另計,1300元/月,魏小姐(仲介，收取服務費),不可以,2房1廳1衛1陽台,27坪,7F/32F,電梯大樓,2021-03-21,10512793,2房1廳1衛，家具家電齊全，採光通風好，近三多商圈，捷運站，大遠百,2021-03-20
